m,25,n,201405202103
1,0.1,3,15,18
34.95895290374756,11.094073057174683,7.939381122589111,2.9075400829315186,147.11579585075378
13.518387794494629,55.07149863243103
1,drog,test,0,5.397499084472656
2,alej,test,0,3.151930809020996
3,zima,test,0,4.968957901000977
4,kuch_skor_1366,pająk,0,2.780890941619873
5,stra_sarn_1366,sarna,1,3.0793769359588623
6,sad_labe_1366,lis,0,2.237757921218872
7,pust_grus_1366,pomidor,0,3.921095132827759
8,las_papr_1366,papryka,1,3.068150043487549
9,gory_drab_1366,piła,0,3.317234992980957
10,ogro_pozio_1366,kask,0,4.573622941970825
11,jezi_srub_1366,łopata,0,3.813153028488159
12,wars_wrob_1366,mysz,0,3.380409002304077
13,laka_pila_1366,wkrętarka,0,3.195490837097168
14,gara_sala_1366,sałata,1,5.515691041946411
15,dom_los_1366,żubr,0,4.042709827423096
16,cast_ogor_1366,jagody,0,3.9744648933410645
17,pole_komb_1366,lewarek,0,3.9529271125793457
18,morz_nied_1366,niedźwiedź,1,4.218523979187012
