m,21,i,201405212218
1,0.1,3,15,18
30.944618940353394,2.5384938716888428,4.359548807144165,2.0759098529815674,128.06731700897217
11.602408170700073,54.90113043785095
1,drog,test,0,6.580826044082642
2,zima,test,0,2.206045150756836
3,alej,test,0,2.8155369758605957
4,pust_grus_1366,winogrona,0,3.4029791355133057
5,wars_wrob_1366,koń,0,3.390192985534668
6,pole_komb_1366,lewarek,0,4.155280113220215
7,jezi_srub_1366,lupa,0,3.7194111347198486
8,cast_ogor_1366,ogórek,1,3.852081060409546
9,laka_pila_1366,piła,1,3.8020219802856445
10,kuch_skor_1366,pająk,0,3.542536973953247
11,ogro_pozio_1366,koparka,0,2.497270107269287
12,sad_labe_1366,komar,0,2.709510087966919
13,gara_sala_1366,agrest,0,3.4006409645080566
14,gory_drab_1366,kosiarka,0,4.674483060836792
15,stra_sarn_1366,sarna,1,4.095721960067749
16,las_papr_1366,kapusta,0,5.416284084320068
17,dom_los_1366,sokół,0,3.0845048427581787
18,morz_nied_1366,mewa,0,3.1582119464874268
