m,21,c,201405221502
1,0.1,3,15,18
27.037966012954712,4.250617027282715,2.690908908843994,2.1878409385681152,120.31951594352722
16.509061098098755,45.99040746688843
1,drog,test,0,5.454756021499634
2,alej,test,0,4.063457012176514
3,zima,test,0,6.990848064422607
4,pole_komb_1366,kombinerki,1,3.917875051498413
5,morz_nied_1366,mewa,0,2.3692209720611572
6,ogro_pozio_1366,piła,0,3.86830997467041
7,kuch_skor_1366,pająk,0,2.403205156326294
8,wars_wrob_1366,mysz,0,2.441390037536621
9,gory_drab_1366,drabina,1,3.344040870666504
10,las_papr_1366,śliwka,0,3.9412190914154053
11,dom_los_1366,zając,0,3.1695339679718018
12,jezi_srub_1366,sierp,0,4.145384073257446
13,laka_pila_1366,lewarek,0,3.085491895675659
14,pust_grus_1366,pomidor,0,3.957533121109009
15,cast_ogor_1366,ogórek,1,1.4612281322479248
16,stra_sarn_1366,sarna,1,2.9638781547546387
17,gara_sala_1366,burak,0,2.627213954925537
18,sad_labe_1366,lis,0,2.2948830127716064
