k,21,test,201405221506
1,0.1,3,15,18
0.4936530590057373,0.42019009590148926,0.7231380939483643,0.9264049530029297,31.679543018341064
1.4278159141540527,6.445628881454468
1,drog,test,0,1.0159049034118652
2,zima,test,0,0.24307894706726074
3,alej,test,0,0.16883206367492676
4,las_papr_1366,cytryna,0,0.09707903861999512
5,kuch_skor_1366,rekin,0,0.1395409107208252
6,wars_wrob_1366,wróbel,1,0.46234607696533203
7,laka_pila_1366,wkrętarka,0,0.28504419326782227
8,pust_grus_1366,pomidor,0,0.030923843383789062
9,sad_labe_1366,lis,0,0.0771329402923584
10,ogro_pozio_1366,piła,0,0.01185297966003418
11,stra_sarn_1366,wiewiórka,0,0.7509691715240479
12,dom_los_1366,żubr,0,0.23408007621765137
13,gara_sala_1366,sałata,1,0.03991198539733887
14,gory_drab_1366,drabina,1,0.05492687225341797
15,pole_komb_1366,śrubokręt,0,0.9243829250335693
16,cast_ogor_1366,ogórek,1,1.2077980041503906
17,morz_nied_1366,niedźwiedź,1,0.7654168605804443
18,jezi_srub_1366,śrubokręt,1,1.3642230033874512
