k,20,c,201405221519
1,0.1,3,15,18
21.932765007019043,3.3705148696899414,4.105448007583618,2.6616780757904053,98.27073287963867
13.67959189414978,31.164551734924316
1,zima,test,0,6.284811973571777
2,alej,test,0,3.4638278484344482
3,drog,test,0,3.9309520721435547
4,las_papr_1366,śliwka,0,3.05586314201355
5,jezi_srub_1366,sierp,0,2.0410549640655518
6,gara_sala_1366,truskawka,0,2.3929247856140137
7,cast_ogor_1366,burak,0,2.0318620204925537
8,pust_grus_1366,marchew,0,1.901986837387085
9,sad_labe_1366,komar,0,1.6542150974273682
10,morz_nied_1366,koza,0,2.828812837600708
11,dom_los_1366,sokół,0,2.4857430458068848
12,wars_wrob_1366,mysz,0,1.727174997329712
13,stra_sarn_1366,borsuk,0,2.017160177230835
14,kuch_skor_1366,pająk,0,2.452177047729492
15,pole_komb_1366,piła,0,2.310786008834839
16,gory_drab_1366,łopata,0,1.681344985961914
17,laka_pila_1366,klucz,0,1.3070578575134277
18,ogro_pozio_1366,poziomica,1,1.2763879299163818
