k,20,i,201405231138
1,0.1,3,15,18
38.49288010597229,2.705811023712158,5.438212156295776,4.736191034317017,123.95786595344543
17.37486219406128,33.66767644882202
1,drog,test,0,11.72349500656128
2,alej,test,0,2.374317169189453
3,zima,test,0,3.277050018310547
4,ogro_pozio_1366,piła,0,1.6027650833129883
5,dom_los_1366,owca,0,2.0278382301330566
6,pust_grus_1366,marchew,0,2.7789950370788574
7,gory_drab_1366,łopata,0,1.6725521087646484
8,stra_sarn_1366,komar,0,2.5596771240234375
9,wars_wrob_1366,mysz,0,1.8326339721679688
10,pole_komb_1366,piła,0,2.4463839530944824
11,cast_ogor_1366,jagody,0,2.9498000144958496
12,jezi_srub_1366,łopata,0,2.1297171115875244
13,morz_nied_1366,mewa,0,1.6220500469207764
14,gara_sala_1366,sałata,1,1.9612319469451904
15,laka_pila_1366,klucz,0,2.7469968795776367
16,kuch_skor_1366,pająk,0,2.5771219730377197
17,las_papr_1366,papryka,1,2.66477108001709
18,sad_labe_1366,łabędź,1,2.095141887664795
