k,22,p,201405231148
1,0.1,3,15,18
11.494013786315918,3.1597001552581787,2.707129955291748,2.1591920852661133,82.63718390464783
7.455949068069458,34.29516863822937
1,alej,test,0,2.514770984649658
2,drog,test,0,1.8769361972808838
3,zima,test,0,3.064241886138916
4,jezi_srub_1366,śrubokręt,1,2.3125109672546387
5,pole_komb_1366,kombinerki,1,2.5599958896636963
6,sad_labe_1366,sarna,0,6.35672402381897
7,cast_ogor_1366,jagody,0,1.3093171119689941
8,dom_los_1366,owca,0,4.854938983917236
9,laka_pila_1366,piła,1,2.1864891052246094
10,gara_sala_1366,agrest,0,0.6819789409637451
11,stra_sarn_1366,borsuk,0,1.9669950008392334
12,pust_grus_1366,pomidor,0,3.00362491607666
13,gory_drab_1366,piła,0,1.7792949676513672
14,morz_nied_1366,żmija,0,1.3828320503234863
15,las_papr_1366,papryka,1,1.9644348621368408
16,kuch_skor_1366,skorpion,1,1.3216359615325928
17,ogro_pozio_1366,koparka,0,0.9921219348907471
18,wars_wrob_1366,szczur,0,1.6222739219665527
