m,21,e,201405241802
1,0.1,3,15,18
1.415808916091919,1.815397024154663,1.590766191482544,1.4753599166870117,54.10210990905762
2.619755983352661,23.630924463272095
1,zima,test,0,0.8020920753479004
2,drog,test,0,0.44149303436279297
3,alej,test,0,1.3761708736419678
4,stra_sarn_1366,sarna,1,0.5956399440765381
5,jezi_srub_1366,łopata,0,1.3850150108337402
6,gory_drab_1366,łopata,0,1.4430060386657715
7,dom_los_1366,łoś,1,1.4230079650878906
8,pust_grus_1366,marchew,0,1.2082839012145996
9,wars_wrob_1366,mysz,0,1.8161230087280273
10,ogro_pozio_1366,poziomica,1,1.7578859329223633
11,las_papr_1366,ogórek,0,1.2303550243377686
12,gara_sala_1366,truskawka,0,0.855841875076294
13,kuch_skor_1366,skorpion,1,1.5335478782653809
14,pole_komb_1366,lewarek,0,2.092568874359131
15,laka_pila_1366,imadło,0,3.120347023010254
16,cast_ogor_1366,maliny,0,1.837954044342041
17,sad_labe_1366,komar,0,2.0510220527648926
18,morz_nied_1366,niedźwiedź,1,1.2803258895874023
