m,21,t,201411281317
1,0.1,3,15,18
0.5815579891204834,0.912761926651001,0.8316860198974609,1.9074721336364746,29.357664108276367
1.2406690120697021,2.786003589630127
1,zima,test,0,0.9055771827697754
2,alej,test,0,0.1866300106048584
3,drog,test,0,0.14846181869506836
4,jezi_srub_1366,łopata,0,0.07263779640197754
5,gory_drab_1366,grabie,0,0.07593297958374023
6,morz_nied_1366,jeż,0,0.5140111446380615
7,wars_wrob_1366,szczur,0,0.41761016845703125
8,kuch_skor_1366,tygrys,0,0.4522511959075928
9,gara_sala_1366,truskawka,0,0.06804513931274414
10,pust_grus_1366,gruszka,1,0.08858704566955566
11,dom_los_1366,zając,0,0.07076120376586914
12,pole_komb_1366,piła,0,0.08743786811828613
13,stra_sarn_1366,zając,0,0.15731000900268555
14,cast_ogor_1366,pietruszka,0,0.13605785369873047
15,laka_pila_1366,klucz,0,0.16333699226379395
16,sad_labe_1366,kaczka,0,0.11898994445800781
17,las_papr_1366,ogórek,0,0.05116605758666992
18,ogro_pozio_1366,piła,0,0.31186819076538086
