m,21,e,201405201039
0,0.1,3,15,18
21.056241035461426,1.9410338401794434,2.028512954711914,3.6603589057922363,95.84990000724792
6.170111179351807,39.4292938709259
1,alej,test,0,2.973633050918579
2,zima,test,0,1.7424240112304688
3,drog,test,0,1.4540541172027588
4,pust_grus_1366,marchew,0,0.4294869899749756
5,wars_wrob_1366,szczur,0,1.5060389041900635
6,cast_ogor_1366,maliny,0,2.097090005874634
7,dom_los_1366,owca,0,3.4905741214752197
8,gara_sala_1366,sałata,1,3.397235870361328
9,morz_nied_1366,niedźwiedź,1,1.5728418827056885
10,las_papr_1366,ogórek,0,1.6021618843078613
11,laka_pila_1366,piła,1,2.6659090518951416
12,ogro_pozio_1366,kilof,0,3.7326149940490723
13,jezi_srub_1366,sierp,0,2.7523910999298096
14,pole_komb_1366,śrubokręt,0,7.571090936660767
15,stra_sarn_1366,sarna,1,2.3945629596710205
16,kuch_skor_1366,skorpion,1,1.6774840354919434
17,sad_labe_1366,łabędź,1,2.9971721172332764
18,gory_drab_1366,grabie,0,1.5426390171051025
