k,21,i,201405201045
0,0.1,3,15,18
19.448565006256104,3.1775779724121094,2.5802078247070312,3.247786045074463,125.57667708396912
20.310362100601196,55.411433696746826
1,alej,test,0,10.35600996017456
2,drog,test,0,5.725126028060913
3,zima,test,0,4.229226112365723
4,pust_grus_1366,winogrona,0,4.612275838851929
5,wars_wrob_1366,mysz,0,4.2985358238220215
6,ogro_pozio_1366,koparka,0,4.478178977966309
7,cast_ogor_1366,maliny,0,5.91099214553833
8,pole_komb_1366,"piła, ",0,4.265768051147461
9,gara_sala_1366,sałata,1,3.1326358318328857
10,laka_pila_1366,klucz,0,3.716377019882202
11,jezi_srub_1366,łopata,0,3.04672908782959
12,stra_sarn_1366,zając,0,3.8955671787261963
13,gory_drab_1366,grabie,0,3.8539059162139893
14,morz_nied_1366,mewa,0,2.734534978866577
15,dom_los_1366,sokół,0,3.5404810905456543
16,sad_labe_1366,kaczka,0,2.7299609184265137
17,kuch_skor_1366,pająk,0,1.746438980102539
18,las_papr_1366,cytryna,0,3.449051856994629
