m,21,c,201405201308
0,0.1,3,15,18
18.411290168762207,4.25659704208374,3.2027859687805176,2.662075996398926,93.14973211288452
7.605961084365845,35.40878105163574
1,drog,test,0,3.3895039558410645
2,zima,test,0,2.463395118713379
3,alej,test,0,1.7530620098114014
4,wars_wrob_1366,koń,0,2.2174768447875977
5,pole_komb_1366,szlifierka,0,1.8471810817718506
6,jezi_srub_1366,łopata,0,2.087049961090088
7,sad_labe_1366,lis,0,1.6503188610076904
8,laka_pila_1366,lewarek,0,2.868831157684326
9,kuch_skor_1366,pająk,0,1.9374940395355225
10,morz_nied_1366,mewa,0,2.46500301361084
11,las_papr_1366,ogórek,0,3.260805130004883
12,pust_grus_1366,winogrona,0,3.1261770725250244
13,gory_drab_1366,drabina,1,2.5822269916534424
14,dom_los_1366,zając,0,1.9864699840545654
15,gara_sala_1366,ogórek,0,2.562868118286133
16,cast_ogor_1366,pietruszka,0,1.9338328838348389
17,ogro_pozio_1366,kilof,0,2.1709020137786865
18,stra_sarn_1366,sarna,1,2.712143898010254
