k,21,c,201405201548
0,0.1,3,15,18
22.43153405189514,5.29764199256897,4.628323078155518,3.3531720638275146,129.6745262145996
9.197066068649292,63.36169099807739
1,zima,test,0,3.256255865097046
2,drog,test,0,2.2692360877990723
3,alej,test,0,3.671574115753174
4,morz_nied_1366,mewa,0,5.133212089538574
5,pole_komb_1366,śrubokręt,0,4.728659152984619
6,las_papr_1366,kapusta,0,4.495712995529175
7,gory_drab_1366,drabina,1,3.839327096939087
8,laka_pila_1366,klucz,0,3.8428971767425537
9,cast_ogor_1366,pietruszka,0,5.122277021408081
10,gara_sala_1366,agrest,0,4.100136995315552
11,wars_wrob_1366,szczur,0,4.56768012046814
12,ogro_pozio_1366,kilof,0,4.241417169570923
13,sad_labe_1366,lis,0,3.8195440769195557
14,stra_sarn_1366,komar,0,3.814220905303955
15,dom_los_1366,zając,0,3.7388360500335693
16,pust_grus_1366,pomidor,0,5.093250036239624
17,jezi_srub_1366,łopata,0,3.49255108833313
18,kuch_skor_1366,pająk,0,3.3319690227508545
