m,19,n,201405202325
0,0.1,3,15,18
49.121959924697876,3.1854469776153564,20.685477018356323,3.908353090286255,135.6157147884369
2.342521905899048,34.73699641227722
1,zima,test,0,1.9414288997650146
2,alej,test,0,0.24341797828674316
3,drog,test,0,0.15767502784729004
4,laka_pila_1366,klucz,0,1.0290517807006836
5,sad_labe_1366,łabędź,1,1.1075420379638672
6,stra_sarn_1366,borsuk,0,2.1077868938446045
7,kuch_skor_1366,rekin,0,2.1965131759643555
8,morz_nied_1366,koza,0,2.6590840816497803
9,gara_sala_1366,agrest,0,1.6119709014892578
10,ogro_pozio_1366,koparka,0,1.6429760456085205
11,cast_ogor_1366,maliny,0,3.0792839527130127
12,pole_komb_1366,piła,0,2.8596439361572266
13,jezi_srub_1366,lupa,0,2.511258840560913
14,gory_drab_1366,piła,0,3.569727897644043
15,las_papr_1366,cytryna,0,2.879534959793091
16,dom_los_1366,zając,0,2.633699893951416
17,pust_grus_1366,marchew,0,2.201385974884033
18,wars_wrob_1366,koń,0,2.647536039352417
