k,21,n,201405202327
0,0.1,3,15,18
37.901774883270264,6.081959009170532,6.5649378299713135,2.449601888656616,140.61057591438293
23.726721048355103,42.51618957519531
1,alej,test,0,17.217911958694458
2,zima,test,0,3.224442958831787
3,drog,test,0,3.2843661308288574
4,cast_ogor_1366,burak,0,3.1883718967437744
5,gara_sala_1366,agrest,0,6.160442113876343
6,pust_grus_1366,gruszka,1,2.902160882949829
7,dom_los_1366,owca,0,2.6003589630126953
8,gory_drab_1366,kosiarka,0,3.5704870223999023
9,kuch_skor_1366,pająk,0,2.8237550258636475
10,wars_wrob_1366,wróbel,1,3.5697450637817383
11,pole_komb_1366,śrubokręt,0,8.497318029403687
12,jezi_srub_1366,lupa,0,0.6636099815368652
13,ogro_pozio_1366,koparka,0,1.899458885192871
14,laka_pila_1366,piła,1,1.2856979370117188
15,sad_labe_1366,sarna,0,1.3112728595733643
16,morz_nied_1366,jeż,0,1.3742010593414307
17,las_papr_1366,cytryna,0,1.4961519241333008
18,stra_sarn_1366,zając,0,1.1731579303741455
