k,21,p,201405231146
0,0.1,3,15,18
39.74563384056091,2.770112991333008,1.921288013458252,3.027346134185791,95.16922497749329
6.215583801269531,20.185549020767212
1,drog,test,0,2.3233537673950195
2,alej,test,0,2.5422170162200928
3,zima,test,0,1.350013017654419
4,las_papr_1366,papryka,1,1.0884079933166504
5,ogro_pozio_1366,koparka,0,1.4619941711425781
6,stra_sarn_1366,zając,0,2.0928049087524414
7,wars_wrob_1366,mysz,0,1.3880109786987305
8,dom_los_1366,owca,0,1.878967046737671
9,gara_sala_1366,burak,0,1.186903953552246
10,morz_nied_1366,jeż,0,1.1770670413970947
11,pust_grus_1366,sałata,0,1.2661771774291992
12,kuch_skor_1366,fenek,0,1.7540669441223145
13,cast_ogor_1366,ogórek,1,1.4811019897460938
14,sad_labe_1366,łabędź,1,0.8629629611968994
15,laka_pila_1366,klucz,0,1.3267199993133545
16,gory_drab_1366,piła,0,1.1155810356140137
17,pole_komb_1366,śrubokręt,0,1.1385138034820557
18,jezi_srub_1366,śrubokręt,1,0.9662690162658691
